imdbID,Title,Year,Genre,Metascore,imdbRating,studio_type
tt13433802,A Quiet Place: Day One,2024,"Drama, Horror, Sci-Fi",68,6.2,major
tt8364368,Crawl,2019,"Action, Horror, Thriller",60,6.1,major
tt6048922,Greyhound,2020,"Drama, History, War",64,7.0,major
tt5113040,The Secret Life of Pets 2,2019,"Animation, Adventure, Comedy",55,6.4,major
tt18259086,Sonic the Hedgehog 3,2024,"Action, Adventure, Comedy",56,6.9,major
tt5971474,The Little Mermaid,2023,"Adventure, Family, Fantasy",59,7.2,major
tt7510222,Despicable Me 4,2024,"Animation, Adventure, Comedy",52,6.2,major
tt7401588,Instant Family,2018,"Comedy, Drama",57,7.3,major
tt17663992,Scream VI,2023,"Horror, Mystery, Thriller",61,6.4,major
tt2049403,Beetlejuice Beetlejuice,2024,"Comedy, Fantasy, Horror",62,6.6,major
tt5726086,Insidious: The Last Key,2018,"Horror, Mystery, Thriller",49,5.7,major
tt4530422,Overlord,2018,"Action, Horror, Sci-Fi",60,6.6,major
tt9362930,Blue Beetle,2023,"Action, Adventure, Sci-Fi",61,5.9,major
tt15679400,Knock at the Cabin,2023,"Horror, Mystery, Thriller",63,6.1,major
tt1262426,Wicked,2024,"Fantasy, Musical, Romance",73,7.4,major
tt12584954,Twisters,2024,"Action, Adventure, Thriller",65,6.5,major
tt9848626,Hotel Transylvania 4: Transformania,2022,"Animation, Adventure, Comedy",46,6.0,major
tt4823776,The SpongeBob Movie: Sponge on the Run,2020,"Animation, Adventure, Comedy",65,5.9,major
tt0805647,The Witches,2020,"Adventure, Family, Fantasy",47,5.4,major
tt2199571,Run All Night,2015,"Action, Crime, Thriller",59,6.6,major
tt11315808,Joker: Folie à Deux,2024,"Drama, Musical, Thriller",45,5.2,major
tt4575576,Christopher Robin,2018,"Adventure, Comedy, Drama",60,7.2,major
tt2436386,Project Almanac,2015,"Drama, Mystery, Sci-Fi",47,6.4,major
tt9620288,King Richard,2021,"Biography, Drama, Sport",76,7.5,major
tt3332064,Pan,2015,"Action, Adventure, Comedy",36,5.7,major
tt10016180,The Little Things,2021,"Crime, Drama, Mystery",54,6.3,major
tt2671706,Fences,2016,Drama,79,7.2,major
tt0499097,Without Remorse,2021,"Action, Drama, Thriller",41,5.8,major
tt5657846,Daddy's Home 2,2017,Comedy,30,6.1,major
tt3513548,Richard Jewell,2019,"Biography, Crime, Drama",68,7.5,major
tt3152624,Trainwreck,2015,"Comedy, Drama, Romance",75,6.2,major
tt13186482,Mufasa: The Lion King,2024,"Animation, Adventure, Drama",56,6.6,major
tt10327252,The Forever Purge,2021,"Action, Crime, Drama",53,5.4,major
tt8623904,Last Christmas,2019,"Comedy, Drama, Fantasy",50,6.5,major
tt4361050,Ouija: Origin of Evil,2016,"Drama, Horror, Mystery",65,6.2,major
tt0498381,Rings,2017,"Drama, Horror, Mystery",25,4.5,major
tt2388771,Mowgli: Legend of the Jungle,2018,"Adventure, Drama, Fantasy",51,6.5,major
tt1361336,Tom & Jerry,2021,"Animation, Adventure, Comedy",32,5.3,major
tt12003946,Violent Night,2022,"Action, Comedy, Thriller",55,6.7,major
tt2279373,The SpongeBob Movie: Sponge Out of Water,2015,"Animation, Adventure, Comedy",62,6.0,major
tt4624424,Storks,2016,"Animation, Adventure, Comedy",56,6.8,major
tt27403986,Juror #2,2024,"Crime, Drama, Mystery",72,7.0,major
tt4916630,Just Mercy,2019,"Biography, Crime, Drama",68,7.6,major
tt4998632,Ambulance,2022,"Action, Crime, Drama",55,6.1,major
tt14209916,Cocaine Bear,2023,"Comedy, Crime, Thriller",54,5.9,major
tt3850590,Krampus,2015,"Comedy, Fantasy, Horror",49,6.2,major
tt6802400,Coming 2 America,2021,"Comedy, Music",52,5.3,major
